dokumen,0.05,0.1,0.2,0.3
"Artinya kita ""welcome"" dengan tawaran internasional.",no,no,no,no
Nanti akan dikoordinir Menkopolhukam.,no,no,no,no
"Mekanisme dan prosedur sedang disiapkan BNPB dan Kemenlu sesuai dengan peraturan yang ada,"" sebut Sutopo.",no,no,no,no
"""Declare bantuan internasional itu tidak harus status bencana nasional.",no,no,no,no
Presiden tidak mendeclare status bencana nasional.,no,no,no,no
"Jadi gempa dan stunami di Sulteng bukan bencana nasional,"" sambungnya.",no,no,no,no
"Dalam jumpa pers di Jakarta, Senin (1/10), Sutopo mengatakan Indoensia menyambut bantuan berupa, antara lain alat angkut untuk landasan pacu 2.000 meter, tenda pengungsl, perangkat pengolahan air bersih, rumah sakit lapangan, tenaga medis, dan genset.",no,yes,yes,yes
"Menurutnya, sudah ada 10 negara yang menyampaikan tawaran bantuan.",no,no,yes,yes
"Sebelumnya, berbagai ucapan simpati dan tawaran bantuan mengalir dari sejumlah pihak, seperti Australia, Cina, Amerika Serikat, Singapura, hingga Uni Eropa.",no,no,yes,yes
"Dalam pernyataan resminya yang dikutip ABC, Perdana Menteri Australia, Scott Morrison, mengaku telah menghubungi Presiden Joko Widodo untuk menyampaikan komitmennya dalam memberi dukungan.",no,no,yes,yes
"""Jika dia perlu bantuan kita, dia akan mendapatkannya,"" kata Morrison kepada ABC.",no,no,no,no
"""Mereka belum meminta apapun, namun Presiden sangat mengapresiasi empati warga Australia,"" sambungnya.",no,no,no,no
"Presiden Cina Xi Jinping mengucapkan belasungkawa kepada Presiden Republik Indonesia Joko Widodo atas bencana alam gempa bumi dan tsunami yang terjadi di Palu dan Donggala, Sulawesi Tengah.",no,no,yes,yes
"""Saya terkejut mendengar gempa bumi kuat dan tsunami yang besar menghantam Provinsi Sulawesi Tengah dan sedih dengan banyaknya nyawa yang hilang dan kerusakan yang terjadi,"" kata Xi seperti dilansir dari China Daily, Minggu (30/9).",no,no,no,no
Pemerintah Cina melalui Palang Merah mereka juga sudah memberikan bantuan sebesar US$200 ribu ke Palang Merah Indonesia.,no,no,no,yes
"Kemudian, pemerintah Amerika Serikat (AS), melalui Duta Besar untuk Republik Indonesia di Jakarta, menyatakan siap memberikan bantuan.",no,no,no,no
"Melalui keterangan resmi dari Kedutaan Besar AS di Jakarta, Dubes Joseph Donovan menyampaikan ""belasungkawa kepada keluarga dan masyarakat yang terkena dampak gempa bumi dan tsunami di Sulawesi Tengah.""",no,no,no,yes
"""Saya telah menghubungi Menteri Luar Negeri RI Retno Marsudi untuk menyampaikan belasungkawa dan menawarkan bantuan kami.""",no,no,no,no
"""Indonesia adalah mitra penting, dan kami siap bekerja sama untuk memberikan dukungan kepada mereka yang membutuhkan.""",no,no,no,no
"Lebih jauh, Kedutaan Besar AS di Jakarta menyatakan Badan Bantuan Bencana Asing (OFDA) memiliki beragam opsi untuk bantuan kemanusiaan.",no,no,no,yes
"""Pertama, kami akan bekerja sama dengan pemrintah Indonesia guna mengidentifikasi apa yang saat ini dibutuhkan dan kemudian menentukan posisi terbaik Amerika Serikat dan mitra-mitranya dalam memenuhi berbagai kebutuhan ini.",no,no,no,no
"""Kami akan berkoordinasi dengan pemerintah Indonesia dan mitra-mitra kami untuk memastikan bantuan didasari kebutuhan dan layak.",no,no,no,no
"""Beberapa opsi meliputi pengiriman barang bantuan dari gudang pemerintah AS di seluruh dunia, dana bantuan kepada organisasi mitra untuk menjalankan aktivitas kemanusiaan, dan mengerahkan penasihat teknis,"" sebut Kedutaan Besar AS di Jakarta.",no,no,no,yes
"Sementara itu, Uni Eropa telah mengumumkan bakal mengucurkan 1,5 juta euro (Rp25 miliar) dalam bantuan langsung.",no,no,no,no
